Data,Turno Inicio,Turno Fim,Hora Inicio,Hora Fim,Máquina,Motivo Parada,Ferramenta,Custo Hora Máquina
2023-08-21,06:00:00,22:00:00,12:00:00,14:00:00,Máquina 3,Setup,Fer I,150
2023-11-14,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 5,Setup,Fer O,150
2023-11-11,06:00:00,22:00:00,13:00:00,14:00:00,Máquina 6,Ajuste,Fer Q,220
2023-11-14,06:00:00,22:00:00,15:00:00,17:00:00,Máquina 1,Manutenção Ferramenta,Fer B,150
2023-04-23,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 5,Manutenção Mecânica,Fer B,150
2023-05-10,06:00:00,22:00:00,11:00:00,14:00:00,Máquina 12,Falta de Energia,Fer A,315
2023-05-06,06:00:00,22:00:00,10:00:00,12:00:00,Máquina 2,Limpeza,Fer D,150
2023-07-22,06:00:00,22:00:00,16:00:00,17:00:00,Máquina 8,Limpeza,Fer E,220
2023-04-08,06:00:00,22:00:00,11:00:00,14:00:00,Máquina 6,Manutenção Mecânica,Fer I,220
2023-05-04,06:00:00,22:00:00,11:00:00,12:00:00,Máquina 11,Periféricos,Fer T,315
2023-09-09,06:00:00,22:00:00,09:00:00,12:00:00,Máquina 11,Periféricos,Fer S,315
2023-05-28,06:00:00,22:00:00,09:00:00,10:00:00,Máquina 7,Manutenção Mecânica,Fer H,220
2023-05-08,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 7,Falta Operador,Fer R,220
2023-05-31,06:00:00,22:00:00,19:00:00,21:00:00,Máquina 15,Periféricos,Fer G,315
2023-09-09,06:00:00,22:00:00,14:00:00,15:00:00,Máquina 10,Manutenção Elétrica,Fer A,220
2023-10-31,06:00:00,22:00:00,17:00:00,18:00:00,Máquina 14,Falta de Energia,Fer I,315
2023-08-21,06:00:00,22:00:00,08:00:00,11:00:00,Máquina 3,Ajuste,Fer A,150
2023-04-26,06:00:00,22:00:00,06:00:00,08:00:00,Máquina 11,Setup,Fer T,315
2023-09-11,06:00:00,22:00:00,19:00:00,20:00:00,Máquina 3,Periféricos,Fer R,150
2023-12-04,06:00:00,22:00:00,11:00:00,14:00:00,Máquina 2,Falta Operador,Fer D,150
2023-06-10,06:00:00,22:00:00,06:00:00,08:00:00,Máquina 4,Falta de Energia,Fer P,150
2023-05-15,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 3,Periféricos,Fer N,150
2023-06-07,06:00:00,22:00:00,11:00:00,12:00:00,Máquina 6,Periféricos,Fer H,220
2023-10-10,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 11,Manutenção Mecânica,Fer O,315
2023-11-13,06:00:00,22:00:00,09:00:00,12:00:00,Máquina 3,Manutenção Mecânica,Fer Q,150
2023-06-21,06:00:00,22:00:00,19:00:00,20:00:00,Máquina 12,Falta de Energia,Fer F,315
2023-04-09,06:00:00,22:00:00,14:00:00,15:00:00,Máquina 12,Setup,Fer Q,315
2023-10-29,06:00:00,22:00:00,08:00:00,09:00:00,Máquina 5,Ajuste,Fer A,150
2023-09-13,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 3,Limpeza,Fer C,150
2023-12-26,06:00:00,22:00:00,13:00:00,15:00:00,Máquina 14,Limpeza,Fer B,315
2023-05-07,06:00:00,22:00:00,15:00:00,17:00:00,Máquina 11,Manutenção Mecânica,Fer H,315
2023-10-26,06:00:00,22:00:00,12:00:00,13:00:00,Máquina 6,Manutenção Ferramenta,Fer C,220
2023-11-02,06:00:00,22:00:00,13:00:00,14:00:00,Máquina 9,Manutenção Ferramenta,Fer D,220
2023-06-22,06:00:00,22:00:00,06:00:00,08:00:00,Máquina 4,Periféricos,Fer O,150
2023-04-02,06:00:00,22:00:00,07:00:00,10:00:00,Máquina 2,Limpeza,Fer S,150
2023-06-02,06:00:00,22:00:00,19:00:00,20:00:00,Máquina 10,Limpeza,Fer Q,220
2023-06-29,06:00:00,22:00:00,11:00:00,14:00:00,Máquina 10,Limpeza,Fer K,220
2023-04-11,06:00:00,22:00:00,13:00:00,14:00:00,Máquina 1,Falta de Energia,Fer G,150
2023-07-15,06:00:00,22:00:00,18:00:00,20:00:00,Máquina 6,Periféricos,Fer H,220
2023-11-04,06:00:00,22:00:00,07:00:00,09:00:00,Máquina 13,Periféricos,Fer Q,315
2023-04-30,06:00:00,22:00:00,08:00:00,10:00:00,Máquina 15,Manutenção Ferramenta,Fer E,315
2023-04-27,06:00:00,22:00:00,12:00:00,15:00:00,Máquina 14,Falta Operador,Fer L,315
2023-05-09,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 10,Manutenção Elétrica,Fer P,220
2023-03-30,06:00:00,22:00:00,18:00:00,19:00:00,Máquina 8,Manutenção Mecânica,Fer P,220
2023-07-08,06:00:00,22:00:00,10:00:00,12:00:00,Máquina 7,Manutenção Ferramenta,Fer C,220
2023-03-17,06:00:00,22:00:00,08:00:00,09:00:00,Máquina 10,Limpeza,Fer N,220
2023-08-08,06:00:00,22:00:00,06:00:00,08:00:00,Máquina 5,Ajuste,Fer E,150
2023-07-23,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 10,Manutenção Ferramenta,Fer D,220
2023-10-16,06:00:00,22:00:00,19:00:00,20:00:00,Máquina 14,Manutenção Ferramenta,Fer J,315
2023-09-03,06:00:00,22:00:00,09:00:00,11:00:00,Máquina 5,Ajuste,Fer J,150
2023-09-07,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 3,Setup,Fer E,150
2023-01-04,06:00:00,22:00:00,12:00:00,14:00:00,Máquina 8,Manutenção Mecânica,Fer T,220
2023-06-01,06:00:00,22:00:00,07:00:00,10:00:00,Máquina 12,Manutenção Mecânica,Fer A,315
2023-06-28,06:00:00,22:00:00,10:00:00,13:00:00,Máquina 11,Manutenção Mecânica,Fer A,315
2023-06-17,06:00:00,22:00:00,16:00:00,17:00:00,Máquina 10,Manutenção Elétrica,Fer S,220
2023-08-30,06:00:00,22:00:00,12:00:00,13:00:00,Máquina 3,Setup,Fer J,150
2023-03-31,06:00:00,22:00:00,07:00:00,10:00:00,Máquina 14,Falta Operador,Fer G,315
2023-07-15,06:00:00,22:00:00,10:00:00,12:00:00,Máquina 10,Setup,Fer D,220
2023-08-05,06:00:00,22:00:00,18:00:00,19:00:00,Máquina 5,Ajuste,Fer J,150
2023-12-23,06:00:00,22:00:00,13:00:00,16:00:00,Máquina 9,Manutenção Mecânica,Fer C,220
2023-02-05,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 2,Setup,Fer E,150
2023-09-25,06:00:00,22:00:00,12:00:00,13:00:00,Máquina 1,Manutenção Ferramenta,Fer C,150
2023-12-27,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 14,Ajuste,Fer P,315
2023-08-05,06:00:00,22:00:00,18:00:00,21:00:00,Máquina 6,Periféricos,Fer Q,220
2023-04-10,06:00:00,22:00:00,18:00:00,19:00:00,Máquina 12,Periféricos,Fer L,315
2023-09-22,06:00:00,22:00:00,17:00:00,19:00:00,Máquina 7,Ajuste,Fer S,220
2023-05-24,06:00:00,22:00:00,10:00:00,13:00:00,Máquina 5,Falta Operador,Fer T,150
2023-02-22,06:00:00,22:00:00,14:00:00,17:00:00,Máquina 7,Falta de Energia,Fer J,220
2023-07-05,06:00:00,22:00:00,19:00:00,22:00:00,Máquina 7,Falta de Energia,Fer C,220
2023-08-03,06:00:00,22:00:00,16:00:00,19:00:00,Máquina 13,Manutenção Elétrica,Fer O,315
2023-03-17,06:00:00,22:00:00,15:00:00,17:00:00,Máquina 9,Manutenção Mecânica,Fer F,220
2023-01-07,06:00:00,22:00:00,18:00:00,20:00:00,Máquina 14,Falta Operador,Fer R,315
2023-10-10,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 10,Falta de Energia,Fer F,220
2023-12-05,06:00:00,22:00:00,18:00:00,19:00:00,Máquina 8,Limpeza,Fer T,220
2023-05-25,06:00:00,22:00:00,12:00:00,13:00:00,Máquina 15,Ajuste,Fer D,315
2023-03-11,06:00:00,22:00:00,08:00:00,09:00:00,Máquina 12,Limpeza,Fer G,315
2023-04-01,06:00:00,22:00:00,15:00:00,18:00:00,Máquina 10,Manutenção Ferramenta,Fer C,220
2023-06-22,06:00:00,22:00:00,07:00:00,09:00:00,Máquina 13,Ajuste,Fer H,315
2023-11-13,06:00:00,22:00:00,14:00:00,17:00:00,Máquina 15,Manutenção Mecânica,Fer C,315
2023-12-14,06:00:00,22:00:00,14:00:00,17:00:00,Máquina 14,Manutenção Mecânica,Fer A,315
2023-04-27,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 6,Falta de Energia,Fer P,220
2023-08-01,06:00:00,22:00:00,17:00:00,18:00:00,Máquina 11,Ajuste,Fer C,315
2023-05-27,06:00:00,22:00:00,14:00:00,16:00:00,Máquina 4,Falta Operador,Fer Q,150
2023-01-14,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 15,Limpeza,Fer C,315
2023-05-24,06:00:00,22:00:00,14:00:00,17:00:00,Máquina 7,Setup,Fer F,220
2023-06-05,06:00:00,22:00:00,13:00:00,15:00:00,Máquina 5,Ajuste,Fer H,150
2023-07-05,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 12,Falta Operador,Fer D,315
2023-07-11,06:00:00,22:00:00,11:00:00,14:00:00,Máquina 11,Manutenção Mecânica,Fer I,315
2023-07-31,06:00:00,22:00:00,17:00:00,18:00:00,Máquina 13,Periféricos,Fer F,315
2023-03-23,06:00:00,22:00:00,10:00:00,13:00:00,Máquina 3,Falta Operador,Fer B,150
2023-01-10,06:00:00,22:00:00,19:00:00,21:00:00,Máquina 8,Falta de Energia,Fer A,220
2023-03-06,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 2,Falta de Energia,Fer Q,150
2023-04-08,06:00:00,22:00:00,08:00:00,11:00:00,Máquina 9,Manutenção Mecânica,Fer P,220
2023-11-07,06:00:00,22:00:00,17:00:00,18:00:00,Máquina 6,Falta de Energia,Fer E,220
2023-12-24,06:00:00,22:00:00,10:00:00,13:00:00,Máquina 3,Falta de Energia,Fer E,150
2023-07-21,06:00:00,22:00:00,08:00:00,09:00:00,Máquina 10,Falta de Energia,Fer N,220
2023-01-01,06:00:00,22:00:00,18:00:00,19:00:00,Máquina 3,Ajuste,Fer A,150
2023-10-15,06:00:00,22:00:00,17:00:00,20:00:00,Máquina 2,Setup,Fer G,150
2023-06-03,06:00:00,22:00:00,07:00:00,09:00:00,Máquina 10,Limpeza,Fer C,220
2023-11-02,06:00:00,22:00:00,06:00:00,08:00:00,Máquina 12,Falta de Energia,Fer Q,315
2023-04-22,06:00:00,22:00:00,12:00:00,15:00:00,Máquina 15,Falta de Energia,Fer N,315
2023-03-07,06:00:00,22:00:00,08:00:00,11:00:00,Máquina 11,Limpeza,Fer B,315
2023-10-21,06:00:00,22:00:00,07:00:00,09:00:00,Máquina 2,Periféricos,Fer B,150
2023-11-04,06:00:00,22:00:00,11:00:00,12:00:00,Máquina 9,Setup,Fer O,220
2023-01-30,06:00:00,22:00:00,15:00:00,18:00:00,Máquina 7,Manutenção Mecânica,Fer E,220
2023-10-12,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 4,Manutenção Mecânica,Fer T,150
2023-03-10,06:00:00,22:00:00,11:00:00,12:00:00,Máquina 2,Manutenção Elétrica,Fer M,150
2023-05-06,06:00:00,22:00:00,16:00:00,19:00:00,Máquina 11,Periféricos,Fer O,315
2023-09-06,06:00:00,22:00:00,12:00:00,15:00:00,Máquina 7,Limpeza,Fer P,220
2023-01-08,06:00:00,22:00:00,13:00:00,14:00:00,Máquina 4,Periféricos,Fer C,150
2023-06-04,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 13,Periféricos,Fer S,315
2023-10-04,06:00:00,22:00:00,07:00:00,09:00:00,Máquina 5,Limpeza,Fer F,150
2023-01-01,06:00:00,22:00:00,14:00:00,16:00:00,Máquina 5,Manutenção Elétrica,Fer Q,150
2023-03-19,06:00:00,22:00:00,18:00:00,21:00:00,Máquina 10,Falta Operador,Fer O,220
2023-05-01,06:00:00,22:00:00,13:00:00,15:00:00,Máquina 6,Manutenção Mecânica,Fer D,220
2023-09-14,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 8,Ajuste,Fer O,220
2023-10-30,06:00:00,22:00:00,13:00:00,15:00:00,Máquina 15,Manutenção Ferramenta,Fer N,315
2023-08-04,06:00:00,22:00:00,18:00:00,20:00:00,Máquina 2,Setup,Fer S,150
2023-01-07,06:00:00,22:00:00,12:00:00,14:00:00,Máquina 3,Manutenção Elétrica,Fer F,150
2023-08-15,06:00:00,22:00:00,14:00:00,17:00:00,Máquina 3,Falta de Energia,Fer J,150
2023-02-08,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 9,Limpeza,Fer L,220
2023-01-25,06:00:00,22:00:00,18:00:00,19:00:00,Máquina 1,Ajuste,Fer J,150
2023-03-08,06:00:00,22:00:00,18:00:00,20:00:00,Máquina 9,Ajuste,Fer O,220
2023-02-03,06:00:00,22:00:00,13:00:00,14:00:00,Máquina 15,Periféricos,Fer J,315
2023-04-11,06:00:00,22:00:00,09:00:00,11:00:00,Máquina 6,Manutenção Elétrica,Fer M,220
2023-08-17,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 9,Limpeza,Fer F,220
2023-03-11,06:00:00,22:00:00,09:00:00,11:00:00,Máquina 7,Setup,Fer I,220
2023-09-04,06:00:00,22:00:00,08:00:00,11:00:00,Máquina 3,Setup,Fer E,150
2023-02-05,06:00:00,22:00:00,11:00:00,13:00:00,Máquina 8,Ajuste,Fer K,220
2023-01-04,06:00:00,22:00:00,11:00:00,13:00:00,Máquina 15,Manutenção Mecânica,Fer F,315
2023-03-03,06:00:00,22:00:00,07:00:00,10:00:00,Máquina 9,Setup,Fer S,220
2023-06-22,06:00:00,22:00:00,10:00:00,12:00:00,Máquina 12,Limpeza,Fer D,315
2023-10-02,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 4,Manutenção Mecânica,Fer N,150
2023-11-16,06:00:00,22:00:00,10:00:00,12:00:00,Máquina 6,Ajuste,Fer M,220
2023-09-16,06:00:00,22:00:00,11:00:00,13:00:00,Máquina 1,Setup,Fer J,150
2023-09-18,06:00:00,22:00:00,15:00:00,17:00:00,Máquina 7,Setup,Fer B,220
2023-03-25,06:00:00,22:00:00,10:00:00,11:00:00,Máquina 1,Manutenção Mecânica,Fer I,150
2023-02-07,06:00:00,22:00:00,08:00:00,10:00:00,Máquina 7,Manutenção Mecânica,Fer E,220
2023-11-14,06:00:00,22:00:00,17:00:00,19:00:00,Máquina 12,Falta de Energia,Fer K,315
2023-05-17,06:00:00,22:00:00,17:00:00,20:00:00,Máquina 2,Periféricos,Fer A,150
2023-10-23,06:00:00,22:00:00,17:00:00,18:00:00,Máquina 6,Setup,Fer K,220
2023-12-27,06:00:00,22:00:00,19:00:00,21:00:00,Máquina 5,Periféricos,Fer E,150
2023-01-05,06:00:00,22:00:00,16:00:00,18:00:00,Máquina 3,Ajuste,Fer M,150
2023-02-11,06:00:00,22:00:00,07:00:00,10:00:00,Máquina 9,Setup,Fer N,220
2023-10-15,06:00:00,22:00:00,18:00:00,20:00:00,Máquina 3,Manutenção Mecânica,Fer O,150
2023-06-02,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 1,Manutenção Ferramenta,Fer B,150
2023-11-05,06:00:00,22:00:00,13:00:00,16:00:00,Máquina 8,Manutenção Ferramenta,Fer S,220
2023-07-17,06:00:00,22:00:00,08:00:00,11:00:00,Máquina 6,Periféricos,Fer H,220
2023-02-11,06:00:00,22:00:00,18:00:00,19:00:00,Máquina 4,Ajuste,Fer G,150
2023-06-06,06:00:00,22:00:00,14:00:00,15:00:00,Máquina 6,Falta de Energia,Fer A,220
2023-09-11,06:00:00,22:00:00,11:00:00,13:00:00,Máquina 4,Falta de Energia,Fer J,150
2023-12-19,06:00:00,22:00:00,11:00:00,12:00:00,Máquina 6,Ajuste,Fer M,220
2023-08-04,06:00:00,22:00:00,13:00:00,16:00:00,Máquina 4,Setup,Fer E,150
2023-06-06,06:00:00,22:00:00,09:00:00,10:00:00,Máquina 15,Manutenção Elétrica,Fer S,315
2023-08-31,06:00:00,22:00:00,09:00:00,11:00:00,Máquina 4,Falta de Energia,Fer T,150
2023-01-11,06:00:00,22:00:00,15:00:00,17:00:00,Máquina 14,Limpeza,Fer H,315
2023-01-23,06:00:00,22:00:00,15:00:00,17:00:00,Máquina 15,Setup,Fer R,315
2023-04-21,06:00:00,22:00:00,17:00:00,20:00:00,Máquina 8,Ajuste,Fer P,220
2023-11-20,06:00:00,22:00:00,13:00:00,14:00:00,Máquina 5,Setup,Fer J,150
2023-04-02,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 15,Limpeza,Fer S,315
2023-01-29,06:00:00,22:00:00,13:00:00,14:00:00,Máquina 14,Limpeza,Fer K,315
2023-09-14,06:00:00,22:00:00,10:00:00,11:00:00,Máquina 14,Ajuste,Fer A,315
2023-11-15,06:00:00,22:00:00,12:00:00,15:00:00,Máquina 6,Setup,Fer O,220
2023-05-29,06:00:00,22:00:00,14:00:00,15:00:00,Máquina 15,Falta Operador,Fer J,315
2023-11-09,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 5,Periféricos,Fer T,150
2023-01-25,06:00:00,22:00:00,16:00:00,18:00:00,Máquina 10,Manutenção Elétrica,Fer G,220
2023-07-29,06:00:00,22:00:00,07:00:00,10:00:00,Máquina 11,Manutenção Mecânica,Fer K,315
2023-12-30,06:00:00,22:00:00,08:00:00,10:00:00,Máquina 11,Setup,Fer G,315
2023-06-29,06:00:00,22:00:00,10:00:00,11:00:00,Máquina 6,Manutenção Mecânica,Fer K,220
2023-05-30,06:00:00,22:00:00,17:00:00,19:00:00,Máquina 10,Falta de Energia,Fer Q,220
2023-12-03,06:00:00,22:00:00,14:00:00,15:00:00,Máquina 4,Ajuste,Fer H,150
2023-02-18,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 7,Manutenção Ferramenta,Fer S,220
2023-07-30,06:00:00,22:00:00,19:00:00,20:00:00,Máquina 14,Manutenção Mecânica,Fer M,315
2023-10-13,06:00:00,22:00:00,08:00:00,10:00:00,Máquina 8,Manutenção Mecânica,Fer N,220
2023-06-24,06:00:00,22:00:00,07:00:00,09:00:00,Máquina 2,Manutenção Mecânica,Fer R,150
2023-08-10,06:00:00,22:00:00,08:00:00,11:00:00,Máquina 6,Ajuste,Fer A,220
2023-09-21,06:00:00,22:00:00,12:00:00,15:00:00,Máquina 13,Periféricos,Fer J,315
2023-06-11,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 12,Manutenção Ferramenta,Fer R,315
2023-12-15,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 8,Manutenção Ferramenta,Fer C,220
2023-09-12,06:00:00,22:00:00,13:00:00,15:00:00,Máquina 13,Falta Operador,Fer O,315
2023-08-17,06:00:00,22:00:00,08:00:00,09:00:00,Máquina 3,Setup,Fer B,150
2023-10-18,06:00:00,22:00:00,19:00:00,21:00:00,Máquina 8,Ajuste,Fer T,220
2023-06-14,06:00:00,22:00:00,10:00:00,12:00:00,Máquina 6,Manutenção Ferramenta,Fer P,220
2023-01-07,06:00:00,22:00:00,12:00:00,13:00:00,Máquina 10,Manutenção Ferramenta,Fer S,220
2023-04-22,06:00:00,22:00:00,08:00:00,09:00:00,Máquina 13,Manutenção Elétrica,Fer B,315
2023-10-30,06:00:00,22:00:00,09:00:00,12:00:00,Máquina 5,Manutenção Elétrica,Fer C,150
2023-04-29,06:00:00,22:00:00,09:00:00,10:00:00,Máquina 12,Falta de Energia,Fer F,315
2023-09-13,06:00:00,22:00:00,14:00:00,16:00:00,Máquina 14,Falta de Energia,Fer L,315
2023-12-21,06:00:00,22:00:00,15:00:00,17:00:00,Máquina 4,Setup,Fer Q,150
2023-07-21,06:00:00,22:00:00,13:00:00,16:00:00,Máquina 14,Manutenção Ferramenta,Fer Q,315
2023-04-25,06:00:00,22:00:00,19:00:00,20:00:00,Máquina 1,Setup,Fer B,150
2023-08-25,06:00:00,22:00:00,12:00:00,13:00:00,Máquina 9,Limpeza,Fer K,220
2023-01-04,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 10,Manutenção Elétrica,Fer E,220
2023-03-16,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 6,Ajuste,Fer I,220
2023-02-03,06:00:00,22:00:00,10:00:00,11:00:00,Máquina 1,Limpeza,Fer L,150
2023-03-28,06:00:00,22:00:00,15:00:00,17:00:00,Máquina 5,Falta de Energia,Fer F,150
2023-08-07,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 8,Falta Operador,Fer G,220
2023-06-22,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 1,Manutenção Elétrica,Fer K,150
2023-07-12,06:00:00,22:00:00,10:00:00,13:00:00,Máquina 3,Falta de Energia,Fer K,150
2023-10-23,06:00:00,22:00:00,09:00:00,10:00:00,Máquina 11,Manutenção Ferramenta,Fer H,315
2023-08-15,06:00:00,22:00:00,07:00:00,10:00:00,Máquina 6,Setup,Fer E,220
2023-11-08,06:00:00,22:00:00,15:00:00,18:00:00,Máquina 1,Ajuste,Fer S,150
2023-08-15,06:00:00,22:00:00,16:00:00,17:00:00,Máquina 4,Manutenção Elétrica,Fer I,150
2023-06-03,06:00:00,22:00:00,10:00:00,11:00:00,Máquina 2,Falta Operador,Fer H,150
2023-01-17,06:00:00,22:00:00,14:00:00,15:00:00,Máquina 1,Setup,Fer J,150
2023-01-25,06:00:00,22:00:00,08:00:00,11:00:00,Máquina 7,Manutenção Elétrica,Fer E,220
2023-04-18,06:00:00,22:00:00,08:00:00,10:00:00,Máquina 12,Limpeza,Fer B,315
2023-01-12,06:00:00,22:00:00,10:00:00,13:00:00,Máquina 3,Manutenção Mecânica,Fer Q,150
2023-11-26,06:00:00,22:00:00,12:00:00,13:00:00,Máquina 9,Setup,Fer S,220
2023-09-21,06:00:00,22:00:00,10:00:00,11:00:00,Máquina 15,Manutenção Ferramenta,Fer E,315
2023-07-17,06:00:00,22:00:00,14:00:00,16:00:00,Máquina 8,Falta Operador,Fer L,220
2023-05-23,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 11,Manutenção Ferramenta,Fer Q,315
2023-10-09,06:00:00,22:00:00,11:00:00,13:00:00,Máquina 5,Manutenção Ferramenta,Fer N,150
2023-12-01,06:00:00,22:00:00,12:00:00,13:00:00,Máquina 5,Periféricos,Fer P,150
2023-11-24,06:00:00,22:00:00,16:00:00,19:00:00,Máquina 2,Manutenção Elétrica,Fer T,150
2023-04-13,06:00:00,22:00:00,19:00:00,22:00:00,Máquina 1,Setup,Fer C,150
2023-04-18,06:00:00,22:00:00,18:00:00,20:00:00,Máquina 12,Periféricos,Fer E,315
2023-06-20,06:00:00,22:00:00,15:00:00,18:00:00,Máquina 8,Manutenção Ferramenta,Fer L,220
2023-02-08,06:00:00,22:00:00,13:00:00,14:00:00,Máquina 15,Ajuste,Fer M,315
2023-07-29,06:00:00,22:00:00,18:00:00,20:00:00,Máquina 1,Manutenção Elétrica,Fer C,150
2023-06-19,06:00:00,22:00:00,19:00:00,22:00:00,Máquina 2,Manutenção Ferramenta,Fer M,150
2023-05-21,06:00:00,22:00:00,08:00:00,11:00:00,Máquina 2,Manutenção Ferramenta,Fer N,150
2023-01-29,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 14,Falta de Energia,Fer L,315
2023-07-04,06:00:00,22:00:00,17:00:00,20:00:00,Máquina 8,Falta Operador,Fer J,220
2023-12-25,06:00:00,22:00:00,10:00:00,11:00:00,Máquina 4,Manutenção Mecânica,Fer C,150
2023-05-22,06:00:00,22:00:00,19:00:00,21:00:00,Máquina 8,Ajuste,Fer R,220
2023-10-20,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 9,Falta Operador,Fer O,220
2023-11-01,06:00:00,22:00:00,13:00:00,16:00:00,Máquina 9,Falta de Energia,Fer E,220
2023-07-17,06:00:00,22:00:00,13:00:00,16:00:00,Máquina 7,Setup,Fer K,220
2023-03-03,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 13,Manutenção Ferramenta,Fer T,315
2023-09-17,06:00:00,22:00:00,13:00:00,14:00:00,Máquina 11,Limpeza,Fer S,315
2023-11-26,06:00:00,22:00:00,07:00:00,08:00:00,Máquina 11,Falta Operador,Fer Q,315
